核苷种类,A溶剂,A添加剂种类mmol,A添加剂种类percent,B溶剂,B添加剂种类mmol,B添加剂种类percent,H,S*,A,B,C (pH 2.8),C (pH 7.0),色谱柱调料粒径,色谱柱长度,色谱柱内径,柱温,A添加剂种类浓度mmol,A添加剂种类浓度%,B添加剂种类浓度mmol,B添加剂种类浓度%,时间min,比例A,时间min1,比例A1,时间min2,比例A2,时间min3,比例A3,时间min4,比例A4,时间min5,比例A5,时间min6,比例A6,时间min7,比例A7,时间min8,比例A8,时间min9,比例A9,流速,进样量,保留时间
胸苷,水,磷酸二氢钾,无,甲醇,无,无,0.9,-0.05,0.01,-0.03,0.32,0.73,5,250,4.6,40,10,0,0,0,0,100,8,100,15,80,30,10,35,0,40,100,-1,-1,-1,-1,-1,-1,-1,-1,1,20,18.4
腺苷,水,磷酸二氢钾,无,甲醇,无,无,0.9,-0.05,0.01,-0.03,0.32,0.73,5,250,4.6,40,10,0,0,0,0,100,8,100,15,80,30,10,35,0,40,100,-1,-1,-1,-1,-1,-1,-1,-1,1,20,19.9
次黄嘌呤,水,乙酸铵,无,乙醇,无,无,0.581,-0.12,-0.133,0.051,-0.014,0.67,2.7,50,4.6,35,40,0,0,0,0,100,2.5,100,3,70,6,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,1,3
肌苷,水,乙酸铵,无,乙醇,无,无,0.581,-0.12,-0.133,0.051,-0.014,0.67,2.7,50,4.6,35,40,0,0,0,0,100,2.5,100,3,70,6,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,1,3.4
肌苷,水,无,甲酸,乙醇,无,无,0.581,-0.12,-0.133,0.051,-0.014,0.67,2.7,50,4.6,35,0,0.001,0,0,0,100,4,100,8,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.4,1,5.6
腺苷,水,乙酸铵,无,乙醇,无,无,0.581,-0.12,-0.133,0.051,-0.014,0.67,2.7,50,4.6,35,40,0,0,0,0,100,2.5,100,3,70,6,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,1,5.2
腺苷,水,无,甲酸,乙醇,无,无,0.581,-0.12,-0.133,0.051,-0.014,0.67,2.7,50,4.6,35,0,0.001,0,0,0,100,4,100,8,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.4,1,7.1
胞苷,水,磷酸,无,水,无,无,0.88,-0.07,0.31,0.02,0.1,1.2,5,250,4.6,30,0,0.001,0,0,0,99.5,15,93,25,85,35,20,45,10,-1,101,-1,101,-1,101,-1,101,-1,101,0.8,10,8
胸苷,水,磷酸,无,甲醇,无,无,0.88,-0.07,0.31,0.02,0.1,1.2,5,250,4.6,30,0,0.001,0,0,0,99.5,15,93,25,85,35,20,45,10,-1,101,-1,101,-1,101,-1,101,-1,101,0.8,10,27
腺苷,水,磷酸,无,甲醇,无,无,0.88,-0.07,0.31,0.02,0.1,1.2,5,250,4.6,30,0,0.001,0,0,0,99.5,15,93,25,85,35,20,45,10,-1,101,-1,101,-1,101,-1,101,-1,101,0.8,10,17
2-脱氧腺苷,水,磷酸,无,甲醇,无,无,0.88,-0.07,0.31,0.02,0.1,1.2,5,250,4.6,30,0,0.001,0,0,0,99.5,15,93,25,85,35,20,45,10,-1,101,-1,101,-1,101,-1,101,-1,101,0.8,10,21
尿嘧啶,水,无,无,甲醇,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,99,10,99,20,97,25,92,32,80,45,80,50,50,60,0,-1,101,-1,101,0.6,20,7.2
次黄嘌呤,水,无,无,乙腈,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,99,10,99,20,97,25,92,32,80,45,80,50,50,60,0,-1,101,-1,101,0.6,20,14.5
黄嘌呤,水,无,无,乙腈,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,99,10,99,20,97,25,92,32,80,45,80,50,50,60,0,-1,101,-1,101,0.6,20,15
胸腺嘧啶,水,无,无,乙腈,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,99,10,99,20,97,25,92,32,80,45,80,50,50,60,0,-1,101,-1,101,0.6,20,21.7
肌苷,水,无,无,乙腈,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,99,10,99,20,97,25,92,32,80,45,80,50,50,60,0,-1,101,-1,101,0.6,20,28.8
脱氧肌苷,水,无,无,乙腈,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,99,10,99,20,97,25,92,32,80,45,80,50,50,60,0,-1,101,-1,101,0.6,20,31
