色谱柱类型,色谱柱调料粒径μm,色谱柱长度mm,色谱柱内径mm,柱温,A,A添加剂种类mmol,A添加剂种类%,B,B添加剂种类mmol,B添加剂种类%,A添加剂浓度mmol/L,A添加剂比例(v/v),pH,B浓度mmol/L,B添加剂比例(v/v),pH,起始时间min,起始比例A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例A,中间点时间 min,中间点比例A,中间点时间 min,中间点比例A,中间点时间 min,中间点比例A,中间点时间 min,中间点比例A,中间点时间 min,中间点比例A,流量mL/min,进样量μL,胞嘧啶,尿嘧啶,胞苷,次黄嘌呤,黄嘌呤,鸟嘌呤,尿苷,脱氧尿苷,胸腺嘧啶,腺嘌呤,肌苷,脱氧肌苷,鸟苷,2-脱氧鸟苷,胸苷,腺苷,β-胸苷,2-脱氧腺苷,虫草素
Symmetry C18,5,250,4.6,30,乙腈,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,2,12,2,16,8,18,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,4,6,0,0,0,0,0,0,0,0,10,0,11,0,0,19,0,0,0
Syncronis aQ,5,250,4.6,25,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,2,7,2,7.1,3,13,3,25,20,40,100,-1,-1,-1,-1,-1,-1,-1,-1,0.8,50,0,7,10.5,13,0,0,14.5,0,0,0,23,0,24.5,0,27,30,0,0,0
TSK-GEL C18,5,250,4.6,30,水,无,甲酸,甲醇,无,无,0,0.001 ,0,0,0.0000 ,0,0,99,40,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,0,7,0,11,14,0,0,0,0,0,28,0,0,0,0,23,0,0,0
Ultimate AQ-C18,5,250,4.6,30,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,0,10,0,15,5,30,20,35,25,36,0,45,0,-1,-1,-1,-1,-1,-1,1,10,1.9,10,12,14,17,0,18,0,20.3,28,29.2,0,30,32,33.4,37,0,38.5,39
Sunfire C18,5,250,4.6,35,水,无,无,乙腈,无,无,0,0.000 ,0,0,0.0000 ,0,0,100,7,97,12,97,22,94,40,94,41,100,-1,-1,-1,-1,-1,-1,-1,-1,0.5,10,0,0,0,0,0,0,16.4,0,0,0,0,0,0,0,0,29.5,0,0,0
"	SymmetryShield C18",5,250,4.6,30,水,无,无,甲醇,无,无,0,0.000 ,0,0,0.0000 ,0,0,100,12,98,25,85,30,80,35,65,40,65,42,98,52,98,-1,-1,-1,-1,1,10,0,0,0,0,0,0,8,0,0,0,0,0,17,0,0,27,0,0,0
Ultimate AQ-C18,5,150,4.6,25,水,无,磷酸二氢钾-磷酸氢二钾,水,无,磷酸二氢钾-磷酸氢二钾：甲醇=9:1,50,0.000 ,5.8,50,0.0000 ,5.8,0,100,14,100,25,75,35,10,40,0,55,0,-1,-1,-1,-1,-1,-1,-1,-1,0.6,5,0,0,0,14.5,0,0,0,0,0,32.5,35,0,0,0,0,50,0,0,0
Ultimate AQ-C18,5,150,4.6,25,水,无,磷酸二氢钾-磷酸氢二钾,水,无,磷酸二氢钾-磷酸氢二钾：甲醇=9:1,50,0.000 ,5.8,50,0.0000 ,5.8,0,100,14,100,25,75,35,10,40,0,55,0,-1,-1,-1,-1,-1,-1,-1,-1,0.6,5,0,0,0,14.5,0,0,0,0,0,32.5,35,0,0,0,0,50,0,0,0
Ultimate AQ-C18,5,250,4.6,40,乙腈,无,无,水,磷酸二氢钾,无,0,0.000 ,0,50,0.0000 ,0,0,0,10,2,20,10,21,60,25,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,0,0,0,0,0,0,7.5,0,0,0,0,0,12.5,0,0,18.5,0,0,0
"	Ultimate XB-C18",5,250,4.6,20,甲醇,无,无,水,乙酸铵-乙酸缓冲盐,无,0,0.000 ,0,5,0.0000 ,4.3,0,0,10,1,20,5,25,5,35,30,37,0,40,0,-1,-1,-1,-1,-1,-1,1,20,0,0,0,0,0,0,17,0,0,20,0,0,31,0,34,36,0,0,0
XTerra MS C18,5,250,4.6,40,水,无,磷酸,乙腈,无,无,0,0.005 ,0,0,0.0000 ,0,0,0,5,95,6,30,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.6,15,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0
"	YMC Hydrosphere C18",3,150,4.6,30,乙腈,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,0,12,0,13,2,25,2,28,5,42,5,-1,-1,-1,-1,-1,-1,-1,-1,0.6,10,0,0,11,0,0,0,17,0,0,26,0,0,29,0,0,38,0,0,0
Zorbax Eclipse Plus C18,5,250,4.6,28,甲醇,无,无,水,无,冰醋酸,0,0.000 ,0,0,0.0007 ,0,0,4,15,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,0,3.9,0,5.2,0,0,6.2,0,0,0,12,0,13,0,0,0,0,0,0
Zorbax Eclipse Plus C18,3.5,150,4.6,25,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,0,8,0,8.5,5,20,25,22,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,0,3.5,5.5,0,0,6.1,9,0,0,12,13,0,13.5,0,15,17,0,0,0
Zorbax Eclipse Plus C18,5,250,4.6,28,水,无,冰醋酸,甲醇,无,无,0,0.007 ,0,0,0.0000 ,0,100,18,96,35,80,40,96,45,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,0,4.1,0,5.5,0,0,6.8,0,0,4.6,13.8,0,12.2,0,0,0,0,0,0
Zorbax Eclipse Plus C18,5,100,4.6,15,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,0.5,2,0.5,3,1,7,2,8,5,10,10,40,40,-1,-1,-1,-1,-1,-1,1,2,0,0,4.6,0,0,0,6.4,0,0,9.3,0,0,11.3,0,0,15.6,0,0,0
Zorbax Eclipse XDB-C18,5,250,4.6,25,甲醇,无,无,水,无,磷酸,0,0.000 ,0,0,0.0020 ,0,0,15,0,30,2,45,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.7,20,0,0,0,0,0,0,23.4,0,0,0,0,0,0,0,0,19.2,0,0,0
Zorbax SB-AQ,5,150,4.6,30,水,磷酸二氢钾,无,乙腈,无,无,40,0.000 ,0,0,0.0000 ,0,0,100,7,100,20,97,40,90,50,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,0,0,0,0,0,0,7,0,0,0,16.2,0,18.1,0,0,35,0,0,40.5
Zorbax SB-AQ,5,150,4.6,30,水,磷酸二氢钾,无,乙腈,无,无,40,0.000 ,0,0,0.0000 ,0,0,100,7,100,20,97,40,90,50,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,0,0,0,0,0,0,7,0,0,0,16.2,0,18.1,0,0,35,0,0,0
Zorbax SB-AQ,·5,150,4.6,40,乙腈,无,无,水,无,磷酸,0,0.000 ,0,0,0.0010 ,0,0,2,5,8,10,15,25,25,40,45,50,60,60,70,70,70,71,2,-1,-1,1,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0
Zorbax SB-AQ,5,250,4.6,30,甲醇,无,无,水,无,甲酸,0,0.000 ,0,0,0.0010 ,0,0,1,10,1,25,15,26,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,0,8,0,16,18,0,0,0,0,0,20,0,0,0,0,0,0,0,0
Zorbax SB-AQ,5,250,4.6,30,甲醇,无,无,水,无,甲酸,0,0.000 ,0,0,0.0010 ,0,0,1,10,1,25,15,26,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,0,8,0,16,18,0,0,0,0,0,20,0,0,0,0,0,0,0,0
Zorbax SB-AQ,5,150,4.6,30,水,无,甲酸,甲醇,无,无,0,0.001 ,0,0,0.0000 ,0,0,100,7,100,20,96,40,15,55,0,58,0,-1,-1,-1,-1,-1,-1,-1,-1,1,10,0,3,1.2,0,0,0,4.8,0,9.4,5.2,13.6,0,15.1,0,0,16.5,0,0,24.2
Zorbax SB-AQ,5,250,4.6,30,水,无,甲酸,乙腈 ,无,无,0,0.005 ,0,0,0.0000 ,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,0,0,0,0,0,0,17.1,0,0,22.8,0,0,33.5,0,0,38.5,0,0,0
Zorbax SB-AQ,5,250,4.6,30,水,无,甲酸,乙腈 ,无,无,0,0.005 ,0,0,0.0000 ,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,0,0,0,0,0,0,17.1,0,0,22.8,0,0,33.5,0,0,38.5,0,0,0
Zorbax SB-AQ,5,250,4.6,30,水,无,甲酸,乙腈 ,无,无,0,0.005 ,0,0,0.0000 ,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,0,0,0,0,0,0,17.1,0,0,22.8,0,0,33.5,0,0,38.5,0,0,0
Zorbax SB-AQ,5,250,4.6,30,水,无,甲酸,乙腈 ,无,无,0,0.005 ,0,0,0.0000 ,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,0,0,0,0,0,0,17.1,0,0,22.8,0,0,33.5,0,0,38.5,0,0,0
Agilent TC-18,5,250,4.6,30,甲醇,无,无,水,乙酸铵,无,0,0.000 ,0,10,0.0000 ,0,0,1,6,1,15,4,25,8,60,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,10,0,0,14,0,0,0,16,0,0,0,0,0,29,0,0,42,0,0,0
Agilent TC-18,5,250,4.6,25,水,磷酸二氢钾,无,乙腈,无,无,50,0.000 ,0,0,0.0000 ,0,0,99,50,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.6,10,0,10,12,15,0,0,0,0,0,23.5,38,0,43,0,0,0,0,0,0
Agilent TC-18,5,250,4.6,30,乙腈,无,无,水,磷酸二氢钾,无,0,0.000 ,0,50,0.0000 ,0,0,0,9,0,40,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,20,0,7,9.5,12,0,0,0,0,0,0,24,0,0,0,29.4,0,0,0,0
Apollo C18,5,250,4.6,30,甲醇,无,无,水,乙酸铵,无,0,0.000 ,0,10,0.0000 ,0,0,4,15,4,20,15,35,25,36,98,40,4,-1,-1,-1,-1,-1,-1,-1,-1,0.5,10,0,0,12,0,0,0,16,0,0,0,0,0,27,0,0,35,0,0,0
Apollo C18,5,250,4.6,30,甲醇,无,无,水,乙酸铵,无,0,0.000 ,0,10,0.0000 ,0,0,0,6,1,15,4,25,8,60,20,68,98,77,98,79,1,-1,-1,-1,-1,0.5,10,0,12,17,0,0,22,24,0,0,36,0,0,34,0,0,0,0,0,0
Apollo C18,5,250,4.6,30,甲醇,无,无,水,乙酸铵,无,0,0.000 ,0,10,0.0000 ,0,0,0,6,1,15,4,25,8,60,20,68,98,77,98,79,1,-1,-1,-1,-1,0.5,10,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,52,0,0,0
Apollo C18,5,250,4.6,30,甲醇,无,无,水,乙酸铵,无,0,0.000 ,0,10,0.0000 ,0,0,0,6,1,15,4,25,8,60,20,68,98,77,98,79,1,-1,-1,-1,-1,0.5,10,0,0,17,0,0,0,24,0,0,0,0,0,34,0,0,52,0,0,0
Apollo C18,5,250,4.6,30,甲醇,无,无,水,乙酸铵,无,0,0.000 ,0,10,0.0000 ,0,0,0,6,1,15,4,25,8,60,20,68,98,77,98,79,1,-1,-1,-1,-1,0.5,10,0,12,17,0,0,22,24,0,0,0,32,0,34,0,0,52,0,0,0
Apollo C18,5,250,4.6,30,甲醇,无,无,水,乙酸铵,无,0,0.000 ,0,10,0.0000 ,0,0,0,6,1,15,4,25,8,60,20,68,98,77,98,79,1,-1,-1,-1,-1,0.5,10,0,0,17,0,0,0,24,0,0,36,0,0,34,0,0,52,0,0,0
Apollo C18,5,250,4.6,30,甲醇,无,无,水,乙酸铵,无,0,0.000 ,0,10,0.0000 ,0,0,0,6,1,15,4,25,8,60,20,68,98,77,98,79,1,-1,-1,-1,-1,0.5,10,0,0,17,0,0,22,24,0,0,0,0,0,34,0,0,52,0,0,0
Apollo C18,5,250,4.6,30,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,0,10,5,30,20,40,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,0,0,0,0,0,0,12.5,0,0,26,0,0,0,0,0,5.5,0,0,0
CAPCELL PAK C18 AQ S5,5,250,4.6,30,甲醇,无,无,水,磷酸二氢钾,无,0,0.000 ,0,50,0.0000 ,0,0,0,13,0,30,15,50,60,55,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,0,6,0,0,13,10.5,14,0,0,0,0,0,0,0,0,0,0,0,0
Diamonsil C18,5,250,4.6,30,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,5,20,5,26,10,31,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,0,0,0,0,0,0,6,0,0,0,11,0,12,0,20,29,0,0,0
Diamonsil C18,5,250,4.6,30,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,1,15,9,25,15,30,60,55,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,0,12,18,0,0,20,22,0,0,0,33,0,35,0,42,51,0,0,0
Diamonsil C18,5,250,4.6,30,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,5,20,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,0,4,0,5,0,0,6,0,0,0,12,0,13.5,0,0,0,0,0,0
Diamonsil C18,5,150,4.6,25,水,无,无,甲醇,无,无,0,0.000 ,0,0,0.0000 ,0,0,100,7,98,7.1,97,13,97,25,80,40,0,-1,-1,-1,-1,-1,-1,-1,-1,0.8,50,0,3.5,5,6.5,0,0,7,0,0,11.2,0,0,17,0,25,27,0,0,0
Diamonsil C18,5,150,4.6,25,水,无,无,甲醇,无,无,0,0.000 ,0,0,0.0000 ,0,0,100,7,98,7.1,97,13,97,25,80,40,0,-1,-1,-1,-1,-1,-1,-1,-1,0.8,50,0,3.5,5,6.5,0,0,7,0,0,11.2,0,0,17,0,25,27,0,0,0
Diamonsil C18,5,250,4.6,30,水,无,冰醋酸,甲醇,无,无,0,0.001 ,0,0,0.0000 ,0,0,100,8,95,20,90,60,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,0,0,0,0,0,0,11,0,0,0,0,0,17,0,0,19,0,0,0
Dikma C18,5,250,4.6,25,水,磷酸二氢钾,无,甲醇,无,无,10,0.000 ,4.4,0,0.0000 ,0,0,100,8,100,40,85,48,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,0,7,0,0,0,0,14,0,0,23,0,0,31,0,0,0,0,0,0
Hanbon Hedera C18,5,250,4.6,30,乙腈,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,0,6,0,25,10,29,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,0,6.5,0,12.5,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
Hedera ODS-2 C18,5,250,4.6,30,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,0.3,10,0.3,20,5,35,15,36,0.3,41,0.3,-1,-1,-1,-1,-1,-1,-1,-1,1,5,3,0,6,6.5,8,0,9,0,10,0,0,22,0,0,25,0,0,0,0
Phenimenex Synergl 4μm Polar-RP80A,5,250,4.6,30,水,无,醋酸,甲醇,无,无,0,0.010 ,0,0,0.0000 ,0,0,97,1,95.4,9,93.2,25,49,30,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,20,0,4.7,0,6.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Phenomenex C18,3,150,4.6,30,水,无,无,甲醇,无,无,0,0.000 ,0,0,0.0000 ,0,0,98,6,98,8,95,15,90,20,70,30,20,50,20,52,98,-1,-1,-1,-1,1,5,0,4,0,0,12.5,0,6,0,0,13,8,0,14,0,0,22,20,0,0
Plaisil ODS C18,5,250,4.6,40,甲醇,无,无,水,无,醋酸,0,0.000 ,0,0,0.0005 ,0,0,0,8,2,15,5,22,10,30,15,35,2,40,2,-1,-1,-1,-1,-1,-1,1,10,0,0,3.2,7.5,0,0,9.5,0,0,0,0,0,18.8,0,0,24,0,0,0
Shim-pack CLC-ODS,5,150,6,30,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,2,6,4,12,12,12.1,24,17,25,25,25,28,2,-1,-1,-1,-1,-1,-1,0.8,10,17,22.5,0,0,0,0,0,0,0,0,0,0,40,0,0,52,0,0,54
Shiseido C18,5,250,4.6,30,乙腈,无,无,水,磷酸二氢钾,无,0,0.000 ,0,50,0.0000 ,0,0,0,9,0,40,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,20,0,7,9,12,0,0,0,0,0,18,24,0,0,0,29,33,0,0,0
